Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
AA,01-01-2019,1,N111ZM,LAX,-1
AA,01-01-2019,3,N105NN,LAX,-7
AA,01-01-2019,24,N982NN,LAS,-3
AA,01-01-2019,33,N103NN,LAX,-4
AA,01-01-2019,117,N113AN,LAX,-4
AA,01-01-2019,133,N106NN,LAX,23
AA,01-01-2019,179,N108NN,SFO,-5
AA,01-01-2019,243,N396AN,MIA,-4
AA,01-01-2019,255,N104NN,LAX,-4
AA,01-01-2019,277,N902NN,ORD,-1
AA,01-01-2019,341,N102NN,LAX,-9
AA,01-01-2019,429,N808AW,CLT,-5
AA,01-01-2019,631,N803AW,CLT,-4
AA,01-01-2019,952,N941NN,PHX,2
AA,01-01-2019,969,N982NN,LAS,-6
AA,01-01-2019,1119,N966AN,DFW,9
AA,01-01-2019,1140,N102NN,BOS,-7
AA,01-01-2019,1240,N893NN,MCO,-7
AA,01-01-2019,1274,N891NN,DFW,3
AA,01-01-2019,1278,N862NN,BOS,-3
AA,01-01-2019,1414,N951AA,ORD,42
AA,01-01-2019,1444,N890NN,CLT,-1
AA,01-01-2019,1445,N929AN,SEA,54
AA,01-01-2019,1487,N972NN,PHX,-4
AA,01-01-2019,1571,N388AA,MIA,-4
AA,01-01-2019,1587,N934AN,PHX,-3
AA,01-01-2019,1610,N691AA,MIA,0
AA,01-01-2019,2218,N952AA,SAN,7
AA,01-01-2019,2234,N818NN,DFW,-3
AA,01-01-2019,2268,N177AN,MIA,-3
AA,01-01-2019,2291,N901AN,CLT,7
AA,01-01-2019,2305,N116AN,SFO,-6
AA,01-01-2019,2369,N810NN,PHX,-1
AA,01-01-2019,2383,N691AA,MIA,0
AA,01-01-2019,2423,N806NN,DFW,-2
AA,01-01-2019,2514,N860NN,AUS,0
AA,01-01-2019,2572,N733AR,MIA,-2
AA,01-01-2019,2643,N967NN,CLT,-1
AA,01-01-2019,2652,N115NN,SFO,-10
AA,01-01-2019,2704,N880NN,MCO,36
AA,01-01-2019,2756,N874NN,PHX,3
AA,01-01-2019,2772,N906NN,AUS,-3
AA,01-01-2019,2773,N893NN,DCA,0
AA,01-01-2019,2783,N183AN,EGE,-4
AA,01-01-2019,2819,N937NN,SAN,-4
AA,01-01-2019,2827,N389AA,DFW,-3
AA,01-02-2019,1,N101NN,LAX,-6
AA,01-02-2019,3,N109NN,LAX,-3
AA,01-02-2019,24,N934AN,LAS,0
AA,01-02-2019,33,N111ZM,LAX,-4
AA,01-02-2019,42,N108NN,LAX,-1
AA,01-02-2019,53,N103NN,LAX,-5
AA,01-02-2019,117,N117AN,LAX,1
AA,01-02-2019,133,N102NN,LAX,9
AA,01-02-2019,179,N107NN,SFO,-5
AA,01-02-2019,243,N397AN,MIA,-3
AA,01-02-2019,255,N104NN,LAX,-6
AA,01-02-2019,277,N959NN,ORD,0
AA,01-02-2019,302,N116AN,LAX,-6
AA,01-02-2019,331,N112AN,LAX,-11
AA,01-02-2019,341,N114NN,LAX,-6
AA,01-02-2019,429,N826AW,CLT,-5
AA,01-02-2019,631,N821AW,CLT,-7
AA,01-02-2019,952,N827NN,PHX,2
AA,01-02-2019,969,N934AN,LAS,-4
AA,01-02-2019,1140,N114NN,BOS,-6
AA,01-02-2019,1240,N979NN,MCO,-2
AA,01-02-2019,1274,N918NN,DFW,-3
AA,01-02-2019,1278,N832NN,BOS,-4
AA,01-02-2019,1414,N944NN,ORD,9
AA,01-02-2019,1444,N910NN,CLT,-2
AA,01-02-2019,1445,N964AN,SEA,1
AA,01-02-2019,1487,N301PA,PHX,-5
AA,01-02-2019,1500,N944NN,CLT,1
AA,01-02-2019,1571,N348AN,MIA,-2
AA,01-02-2019,1587,N981AN,PHX,-7
AA,01-02-2019,1610,N187AN,MIA,-2
AA,01-02-2019,2218,N928NN,SAN,-4
AA,01-02-2019,2234,N980AN,DFW,47
AA,01-02-2019,2268,N192AN,MIA,0
AA,01-02-2019,2291,N945NN,CLT,-2
AA,01-02-2019,2305,N113AN,SFO,-8
AA,01-02-2019,2369,N886NN,PHX,0
AA,01-02-2019,2383,N148AN,MIA,-7
AA,01-02-2019,2423,N937NN,DFW,9
AA,01-02-2019,2514,N844NN,AUS,-4
AA,01-02-2019,2572,N728AN,MIA,-3
AA,01-02-2019,2643,N909NN,CLT,85
AA,01-02-2019,2652,N105NN,SFO,-7
AA,01-02-2019,2704,N955NN,MCO,-5
AA,01-02-2019,2756,N954AN,PHX,1
AA,01-02-2019,2772,N355PU,AUS,-2
AA,01-02-2019,2773,N979NN,DCA,-1
AA,01-02-2019,2783,N183AN,EGE,-11
AA,01-02-2019,2819,N967AN,SAN,0
AA,01-02-2019,2827,N349AN,DFW,65
AA,01-03-2019,1,N101NN,LAX,12
AA,01-03-2019,3,N110AN,LAX,-6
AA,01-03-2019,24,N306NY,LAS,12
AA,01-03-2019,33,N115NN,LAX,-1
AA,01-03-2019,42,N107NN,LAX,-8
AA,01-03-2019,53,N106NN,LAX,31
AA,01-03-2019,117,N114NN,LAX,118
AA,01-03-2019,133,N105NN,LAX,44
AA,01-03-2019,179,N104NN,SFO,-6
AA,01-03-2019,243,N342AN,MIA,-1
AA,01-03-2019,255,N111ZM,LAX,-3
