Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
B6,01-01-2019,3,N959JB,SJU,-2
B6,01-01-2019,18,N283JB,BOS,0
B6,01-01-2019,23,N991JB,LAX,20
B6,01-01-2019,34,N317JB,BTV,56
B6,01-01-2019,53,N972JB,PBI,127
B6,01-01-2019,63,N983JB,SEA,-4
B6,01-01-2019,65,N509JB,ABQ,132
B6,01-01-2019,71,N583JB,SLC,-2
B6,01-01-2019,81,N526JB,RNO,-8
B6,01-01-2019,89,N935JB,SAN,-2
B6,01-01-2019,97,N996JB,DEN,35
B6,01-01-2019,102,N192JB,BUF,84
B6,01-01-2019,105,N373JB,ORD,6
B6,01-01-2019,108,N373JB,PWM,1
B6,01-01-2019,116,N373JB,SYR,-6
B6,01-01-2019,118,N198JB,BOS,66
B6,01-01-2019,123,N990JB,LAX,-4
B6,01-01-2019,135,N534JB,PHX,160
B6,01-01-2019,149,N979JB,PSP,-1
B6,01-01-2019,161,N949JB,SMF,-4
B6,01-01-2019,163,N760JB,SRQ,-9
B6,01-01-2019,167,N630JB,OAK,30
B6,01-01-2019,189,N943JB,SAN,72
B6,01-01-2019,201,N974JB,FLL,117
B6,01-01-2019,213,N607JB,LGB,109
B6,01-01-2019,219,N317JB,CLT,-7
B6,01-01-2019,225,N663JB,TPA,73
B6,01-01-2019,234,N317JB,BTV,13
B6,01-01-2019,263,N981JB,SEA,-8
B6,01-01-2019,283,N950JB,MCO,2
B6,01-01-2019,286,N283JB,ROC,-8
B6,01-01-2019,289,N643JB,MCO,91
B6,01-01-2019,318,N184JB,BOS,-5
B6,01-01-2019,323,N961JB,LAX,147
B6,01-01-2019,325,N965JB,TPA,27
B6,01-01-2019,329,N192JB,RSW,-9
B6,01-01-2019,355,N561JB,ONT,-3
B6,01-01-2019,359,N613JB,BUR,17
B6,01-01-2019,393,N618JB,DAB,8
B6,01-01-2019,403,N997JB,SJU,8
B6,01-01-2019,408,N206JB,PWM,170
B6,01-01-2019,415,N937JB,SFO,83
B6,01-01-2019,423,N946JB,LAX,9
